RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720738192568	 	3.11.3
USER	Pokemon API Test	START	1720738193207
USER	Pokemon API Test	START	1720738193304
USER	Pokemon API Test	START	1720738193406
USER	Pokemon API Test	START	1720738193505
REQUEST		Get Pikachu	1720738193306	1720738193353	OK	 
USER	Pokemon API Test	END	1720738193524
REQUEST		Get Pikachu	1720738193228	1720738193319	OK	 
USER	Pokemon API Test	END	1720738193529
USER	Pokemon API Test	START	1720738193529
REQUEST		Get Pikachu	1720738193407	1720738193508	OK	 
USER	Pokemon API Test	END	1720738193588
USER	Pokemon API Test	START	1720738193589
USER	Pokemon API Test	START	1720738193589
USER	Pokemon API Test	START	1720738193606
REQUEST		Get Pikachu	1720738193506	1720738193585	OK	 
USER	Pokemon API Test	END	1720738193624
USER	Pokemon API Test	START	1720738193625
REQUEST		Get Pikachu	1720738193590	1720738193640	OK	 
USER	Pokemon API Test	END	1720738193643
USER	Pokemon API Test	START	1720738193644
REQUEST		Get Pikachu	1720738193625	1720738193692	OK	 
USER	Pokemon API Test	END	1720738193740
USER	Pokemon API Test	START	1720738193740
REQUEST		Get Pikachu	1720738193530	1720738193697	OK	 
REQUEST		Get Pikachu	1720738193608	1720738193709	OK	 
REQUEST		Get Pikachu	1720738193644	1720738193703	OK	 
USER	Pokemon API Test	END	1720738193786
USER	Pokemon API Test	END	1720738193786
USER	Pokemon API Test	START	1720738193786
USER	Pokemon API Test	START	1720738193787
USER	Pokemon API Test	START	1720738193793
USER	Pokemon API Test	END	1720738193794
USER	Pokemon API Test	START	1720738193794
REQUEST		Get Pikachu	1720738193590	1720738193789	OK	 
USER	Pokemon API Test	START	1720738193807
USER	Pokemon API Test	END	1720738193807
USER	Pokemon API Test	START	1720738193807
REQUEST		Get Pikachu	1720738193793	1720738193828	OK	 
USER	Pokemon API Test	END	1720738193839
USER	Pokemon API Test	START	1720738193839
REQUEST		Get Pikachu	1720738193741	1720738193829	OK	 
USER	Pokemon API Test	END	1720738193842
USER	Pokemon API Test	START	1720738193843
REQUEST		Get Pikachu	1720738193808	1720738193860	OK	 
USER	Pokemon API Test	END	1720738193864
USER	Pokemon API Test	START	1720738193871
USER	Pokemon API Test	START	1720738193908
REQUEST		Get Pikachu	1720738193788	1720738193865	OK	 
USER	Pokemon API Test	END	1720738193914
USER	Pokemon API Test	START	1720738193914
REQUEST		Get Pikachu	1720738193787	1720738193883	OK	 
USER	Pokemon API Test	END	1720738193917
USER	Pokemon API Test	START	1720738193919
REQUEST		Get Pikachu	1720738193795	1720738193868	OK	 
REQUEST		Get Pikachu	1720738193807	1720738193889	OK	 
USER	Pokemon API Test	END	1720738193922
USER	Pokemon API Test	END	1720738193922
USER	Pokemon API Test	START	1720738193922
USER	Pokemon API Test	START	1720738193926
REQUEST		Get Pikachu	1720738193840	1720738193900	OK	 
USER	Pokemon API Test	END	1720738193927
USER	Pokemon API Test	START	1720738193927
REQUEST		Get Pikachu	1720738193853	1720738193906	OK	 
USER	Pokemon API Test	END	1720738193934
USER	Pokemon API Test	START	1720738193935
